Date,Step_Count,Distance_km,Heart_Points,Heart_Minutes,Avg_Heart_Rate_bpm,Max_Heart_Rate_bpm,Min_Heart_Rate_bpm
2024-05-28,15044,10.51,88,88,,,
2024-05-29,10788,7.59,67,67,,,
2024-05-30,10335,7.26,61,61,,,
2024-05-31,23335,18.49,175,126,,,
2024-06-01,12304,8.79,71,67,,,
2024-06-02,12296,8.68,82,82,,,
2024-06-03,10960,7.87,70,67,,,
2024-06-04,10774,7.54,65,65,,,
2024-06-05,11130,8.25,74,60,,,
2024-06-06,10188,7.33,68,68,,,
2024-06-07,14588,10.55,88,68,,,
2024-06-08,12560,8.65,66,66,,,
2024-06-09,10911,7.59,57,45,,,
2024-06-10,24320,16.85,128,125,,,
2024-06-11,10299,7.52,64,64,,,
2024-06-12,11857,8.46,80,80,,,
2024-06-13,12360,8.93,97,97,,,
2024-06-14,12299,8.49,68,68,,,
2024-06-15,12773,9.03,93,93,,,
2024-06-16,12162,8.69,92,92,,,
2024-06-17,14741,10.35,93,92,,,
2024-06-18,13468,9.57,89,88,,,
2024-06-19,12344,8.76,85,85,,,
2024-06-20,16068,11.42,115,115,,,
2024-06-21,13363,9.56,103,103,,,
2024-06-22,19263,13.61,152,152,,,
2024-06-23,17421,11.85,73,73,,,
2024-06-24,12285,8.91,100,100,,,
2024-06-25,14635,10.35,108,108,,,
2024-06-26,12586,8.99,97,97,,,
2024-06-27,12879,9.34,105,105,,,
2024-06-28,13760,9.76,103,103,,,
2024-06-29,11864,8.41,84,84,,,
2024-06-30,11919,8.49,89,89,,,
2024-07-01,14100,10.18,106,106,,,
2024-07-02,13328,9.42,86,86,,,
2024-07-03,16809,11.52,78,78,,,
2024-07-04,12765,8.77,83,83,,,
2024-07-05,13775,9.89,108,108,,,
2024-07-06,12473,8.89,98,98,,,
2024-07-07,12672,9.06,97,97,,,
2024-07-08,12443,8.87,98,98,,,
2024-07-09,11328,8.15,87,87,,,
2024-07-10,12045,8.74,90,90,,,
2024-07-11,13089,9.35,98,98,,,
2024-07-12,10764,7.45,65,64,,,
2024-07-13,10642,7.59,83,83,,,
2024-07-14,18453,13.1,139,139,,,
2024-07-15,13370,9.65,105,104,,,
2024-07-16,16846,11.87,115,114,,,
2024-07-17,12396,8.87,94,94,,,
2024-07-18,10902,7.6,83,83,,,
2024-07-19,12756,9.18,105,105,,,
2024-07-20,11969,8.56,95,95,,,
2024-07-21,22488,15.46,130,130,,,
2024-07-22,15027,10.59,113,113,,,
2024-07-23,13411,9.51,99,99,,,
2024-07-24,12786,9.21,99,99,,,
2024-07-25,11730,8.44,89,89,,,
2024-07-26,10880,7.9,84,82,,,
2024-07-27,12688,9.08,102,102,,,
2024-07-28,12674,9.06,98,98,,,
2024-07-29,12592,9.04,97,97,,,
2024-07-30,13316,9.32,93,93,,,
2024-07-31,12972,9.24,93,93,,,
2024-08-01,17217,12.19,117,117,,,
2024-08-02,13849,9.73,94,94,,,
2024-08-03,13399,9.49,102,102,,,
2024-08-04,12675,8.94,95,95,,,
2024-08-05,11752,8.46,90,90,,,
2024-08-06,17065,11.9,88,88,87.8,120.0,61.0
2024-08-07,13628,8.73,113,113,70.1,123.0,47.0
2024-08-08,16250,11.11,78,78,90.7,126.0,73.0
2024-08-09,14561,10.36,113,113,104.8,118.0,80.0
2024-08-10,22433,12.11,120,120,92.0,112.0,69.0
2024-08-11,13417,9.67,129,129,,,
2024-08-12,23928,10.34,123,123,93.4,120.0,73.0
2024-08-13,15015,7.62,90,90,88.4,123.0,50.0
2024-08-14,12667,8.94,96,96,106.3,127.0,64.0
2024-08-15,12834,9.19,91,91,99.1,115.0,71.0
2024-08-16,15964,10.36,105,105,93.5,126.0,72.0
2024-08-17,13977,9.57,101,101,97.3,120.0,73.0
2024-08-18,15852,12.71,122,122,92.4,107.0,70.0
2024-08-19,10798,2.4,30,30,88.5,116.0,67.0
2024-08-20,17832,5.92,47,47,91.4,106.0,63.0
2024-08-21,13318,9.1,92,92,99.5,112.0,78.0
2024-08-22,12678,9.17,102,102,109.5,119.0,91.0
2024-08-23,13965,11.95,108,108,107.7,122.0,80.0
2024-08-24,19023,9.12,100,100,100.3,118.0,79.0
2024-08-25,15748,12.21,118,118,98.8,122.0,66.0
2024-08-26,23802,12.09,116,116,88.7,126.0,68.0
2024-08-27,15142,10.27,111,111,95.8,119.0,67.0
2024-08-28,14267,9.81,100,100,103.0,126.0,73.0
2024-08-29,17424,10.52,110,109,95.5,116.0,75.0
2024-08-30,19588,9.33,89,89,100.4,122.0,74.0
2024-08-31,15781,10.4,123,123,108.3,121.0,78.0
2024-09-01,15973,10.39,111,111,95.6,120.0,66.0
2024-09-02,23571,11.62,221,221,104.0,121.0,68.0
2024-09-03,12904,5.73,632,632,94.0,121.0,74.0
2024-09-04,23375,18.2,143,143,84.5,127.0,71.0
2024-09-05,22598,12.44,190,190,92.3,120.0,78.0
2024-09-06,12221,6.11,487,486,94.7,121.0,75.0
2024-09-07,26428,15.79,186,186,90.8,126.0,67.0
2024-09-08,17247,12.52,105,105,90.8,125.0,66.0
2024-09-09,27990,12.92,70,70,92.0,124.0,71.0
2024-09-10,17620,11.43,105,105,86.4,106.0,67.0
2024-09-11,11926,5.42,90,86,96.2,139.0,63.0
2024-09-12,12029,8.74,69,69,99.0,122.0,66.0
2024-09-13,18993,17.36,96,96,94.9,119.0,65.0
2024-09-14,19628,10.95,120,120,101.6,121.0,72.0
2024-09-15,22178,9.69,113,113,104.1,121.0,69.0
2024-09-16,20638,9.68,96,96,98.5,118.0,72.0
2024-09-17,25553,14.85,148,148,101.4,121.0,64.0
2024-09-18,19709,8.04,105,105,87.1,122.0,67.0
2024-09-19,19301,12.58,107,107,100.2,123.0,69.0
2024-09-20,11891,8.58,101,99,106.6,119.0,93.0
2024-09-21,13862,9.59,102,102,100.2,120.0,71.0
2024-09-22,14552,10.56,91,91,107.4,120.0,92.0
2024-09-23,21523,18.81,108,108,89.4,126.0,66.0
2024-09-24,23748,16.14,199,196,95.2,125.0,65.0
2024-09-25,10228,7.13,168,159,86.5,123.0,76.0
2024-09-26,26425,14.74,197,197,93.4,117.0,66.0
2024-09-27,16406,8.22,187,181,90.2,133.0,68.0
2024-09-28,24311,13.43,150,150,88.3,119.0,70.0
2024-09-29,13381,9.6,100,100,105.6,123.0,69.0
2024-09-30,16729,8.47,538,538,100.4,113.0,60.0
2024-10-01,19150,9.57,201,201,93.9,126.0,58.0
2024-10-02,15722,10.53,196,196,95.9,118.0,66.0
2024-10-03,19700,13.69,186,185,91.5,118.0,74.0
2024-10-04,19374,12.81,198,198,88.1,126.0,61.0
2024-10-05,18037,10.96,190,180,87.2,115.0,70.0
2024-10-06,24586,19.14,96,88,87.7,165.0,69.0
2024-10-07,17926,8.77,163,162,92.3,118.0,60.0
2024-10-08,15130,9.79,211,210,91.3,112.0,56.0
2024-10-09,17475,11.35,108,108,86.8,117.0,75.0
2024-10-10,16103,8.43,107,104,88.4,122.0,66.0
2024-10-11,21212,11.04,635,635,86.5,119.0,65.0
2024-10-12,17737,14.17,92,92,83.2,117.0,69.0
2024-10-13,13158,9.58,100,89,92.3,105.0,77.0
2024-10-14,18523,8.89,179,179,98.5,117.0,71.0
2024-10-15,15786,9.14,167,162,95.2,120.0,69.0
2024-10-16,19861,9.21,180,180,88.8,118.0,65.0
2024-10-17,16902,11.31,166,165,95.3,112.0,68.0
2024-10-18,17347,8.9,190,190,82.8,114.0,62.0
2024-10-19,15348,10.44,231,229,89.9,106.0,60.0
2024-10-20,31023,20.75,232,229,95.3,117.0,71.0
2024-10-21,15685,9.79,145,145,83.1,112.0,69.0
2024-10-22,16089,10.52,156,156,92.3,118.0,65.0
2024-10-23,17873,13.35,204,199,88.5,107.0,65.0
2024-10-24,20691,12.22,242,242,89.8,120.0,66.0
2024-10-25,13811,7.13,167,167,87.5,111.0,70.0
2024-10-26,18297,18.81,178,173,100.1,125.0,66.0
2024-10-27,18072,9.97,93,76,89.2,114.0,61.0
2024-10-28,15761,8.82,138,136,91.2,115.0,61.0
2024-10-29,18825,11.8,190,190,85.6,118.0,70.0
2024-10-30,20146,5.23,261,261,86.3,114.0,61.0
2024-10-31,12538,8.49,138,138,90.3,112.0,68.0
2024-11-01,28664,19.25,245,245,94.8,123.0,67.0
2024-11-02,14988,11.7,182,177,90.2,131.0,64.0
2024-11-03,13449,9.19,89,89,85.8,107.0,60.0
2024-11-04,14777,8.56,200,198,86.9,109.0,70.0
2024-11-05,11609,7.92,105,105,78.8,116.0,55.0
2024-11-06,16389,15.84,203,196,89.3,117.0,69.0
2024-11-07,14919,9.85,192,192,88.4,102.0,72.0
2024-11-08,15127,10.43,197,191,92.4,111.0,61.0
2024-11-09,18823,12.41,166,162,82.3,112.0,64.0
2024-11-10,11683,6.21,122,122,85.3,112.0,64.0
2024-11-11,19689,15.08,175,162,89.3,105.0,62.0
2024-11-12,20041,14.26,183,183,80.3,108.0,60.0
2024-11-13,14744,10.25,186,185,81.9,115.0,61.0
2024-11-14,17746,11.18,476,476,91.5,109.0,68.0
2024-11-15,11912,8.21,103,103,91.5,108.0,67.0
2024-11-16,16002,11.3,110,110,87.4,107.0,69.0
2024-11-17,12630,8.75,89,89,88.6,110.0,64.0
2024-11-18,18278,9.69,165,155,93.5,112.0,64.0
2024-11-19,15307,8.76,149,149,80.1,106.0,61.0
2024-11-20,13611,8.92,121,120,90.1,109.0,67.0
2024-11-21,13708,8.03,440,440,92.6,114.0,61.0
2024-11-22,13541,9.7,98,98,87.4,113.0,61.0
2024-11-23,13353,8.13,82,82,79.9,111.0,58.0
2024-11-24,17742,12.16,106,106,67.9,115.0,48.0
2024-11-25,13388,8.28,58,58,95.8,116.0,72.0
2024-11-26,13307,9.6,107,107,97.6,113.0,70.0
2024-11-27,12401,6.57,38,38,91.4,112.0,65.0
2024-11-28,10101,6.73,31,31,89.1,101.0,68.0
2024-11-29,15347,8.57,39,34,91.1,115.0,72.0
2024-11-30,12873,7.2,54,54,94.1,112.0,74.0
2024-12-01,13028,9.0,63,63,88.9,113.0,63.0
2024-12-02,11722,8.07,60,60,92.1,113.0,69.0
2024-12-03,12678,8.41,63,63,85.0,112.0,67.0
2024-12-04,11412,7.76,41,41,85.7,116.0,68.0
2024-12-05,11844,8.2,72,72,87.4,113.0,67.0
2024-12-06,19804,15.68,151,104,79.1,112.0,61.0
2024-12-07,12876,8.94,80,80,97.6,116.0,76.0
2024-12-08,12445,8.48,58,57,86.5,117.0,65.0
2024-12-09,11895,8.43,68,68,83.8,109.0,65.0
2024-12-10,13610,9.25,78,78,87.4,112.0,65.0
2024-12-11,12231,9.23,98,98,82.8,115.0,63.0
2024-12-12,10800,7.5,59,59,68.4,113.0,54.0
2024-12-13,13744,9.81,99,99,86.5,109.0,62.0
2024-12-14,12275,8.54,78,78,86.6,112.0,67.0
2024-12-15,14229,9.64,77,77,75.8,110.0,59.0
2024-12-16,11364,7.7,44,43,92.1,110.0,74.0
2024-12-17,12218,8.25,67,67,95.5,116.0,74.0
2024-12-18,10264,7.23,65,65,80.8,100.0,61.0
2024-12-19,11775,8.25,74,74,81.1,112.0,62.0
2024-12-20,12221,8.39,66,63,81.1,100.0,60.0
2024-12-21,13317,9.5,96,96,82.3,105.0,64.0
2024-12-22,11454,8.28,79,79,86.5,116.0,66.0
2024-12-23,10240,7.17,57,46,82.5,109.0,62.0
2024-12-24,17306,6.91,56,44,87.4,111.0,67.0
2024-12-25,13160,9.31,92,92,89.6,114.0,67.0
2024-12-26,11721,8.14,64,64,91.3,112.0,72.0
2024-12-27,30250,4.92,51,49,86.3,115.0,64.0
2024-12-28,13179,8.49,84,84,89.6,103.0,65.0
2024-12-29,10753,7.56,68,68,88.9,102.0,73.0
2024-12-30,14057,8.93,62,62,85.8,109.0,65.0
2024-12-31,13614,9.62,98,98,,,
